player,field,from,to,source
John Michael Gyllenborg,teamID,Rookie,KC,espn
Garrett Nussmeier,rating,85,63,
Connor McGovern,rating,89,81,
Connor McGovern,teamID,BUF,Free Agent,espn-demote
Calijah Kancey,rating,54,77,
Calijah Kancey,position,DE,DT,
John Franklin-Myers,rating,59,80,
Darius Robinson,rating,49,70,
Jalen Ramsey,rating,68,90,
Dondrea Tillman,position,OLB,MLB,
Dondrea Tillman,teamID,Free Agent,DEN,espn
Jarrett Kingston,rating,68,67,
Jarrett Kingston,teamID,HOU,MIA,espn
Isaiah Stalbird,rating,66,65,
Isaiah Stalbird,teamID,Free Agent,NO,espn
Connor O'Toole,rating,65,64,
Connor O'Toole,position,OLB,MLB,
Connor O'Toole,teamID,Free Agent,SEA,espn
Keir Thomas,rating,63,62,
Keir Thomas,position,OLB,MLB,
Keir Thomas,teamID,Free Agent,LAR,espn
Spencer Burford,rating,67,69,
Spencer Burford,position,OT,OG,
Spencer Burford,teamID,Free Agent,LV,espn
Bo Richter,rating,67,69,
Bo Richter,position,OLB,MLB,
Bo Richter,teamID,Free Agent,MIN,espn
Siran Neal,rating,64,66,
Siran Neal,position,CB,S,
Siran Neal,teamID,Free Agent,SF,espn
Trevor Nowaske,rating,62,64,
Trevor Nowaske,teamID,Free Agent,DET,espn
Eku Leota,rating,60,62,
Eku Leota,position,OLB,MLB,
Eku Leota,teamID,Free Agent,ARI,espn
Justin Shorter,rating,62,60,
Justin Shorter,position,TE,WR,
Justin Shorter,teamID,Free Agent,LV,espn
Jaylen Harrell,rating,63,66,
Jaylen Harrell,position,OLB,MLB,
Jaylen Harrell,teamID,Free Agent,TEN,espn
Jake Hansen,rating,60,63,
Jake Hansen,position,OLB,MLB,
Jake Hansen,teamID,Free Agent,HOU,espn
Jonathan Greenard,rating,81,85,
Jonathan Greenard,position,OLB,MLB,
Jonathan Greenard,teamID,MIN,PHI,espn
Anfernee Jennings,rating,81,77,
Anfernee Jennings,position,OLB,MLB,
Anfernee Jennings,teamID,NE,NO,espn
Owen Pappoe,rating,67,68,
Owen Pappoe,teamID,ARI,TEN,espn
Matt Henningsen,rating,64,68,
Matt Henningsen,teamID,Free Agent,DEN,espn
Ali Gaye,rating,65,66,
Ali Gaye,position,OLB,DE,
Ali Gaye,teamID,Free Agent,HOU,espn
Luke Gifford,rating,62,66,
Luke Gifford,teamID,Free Agent,SF,espn
Jackson Meeks,rating,69,65,
Jackson Meeks,teamID,Free Agent,DET,espn
Von Miller,rating,73,78,
Von Miller,position,OLB,MLB,
Von Miller,teamID,Free Agent,DAL,espn
Caedan Wallace,rating,73,68,
Caedan Wallace,position,OG,OT,
Caedan Wallace,teamID,NE,MIA,espn
Winston Reid,rating,62,67,
Winston Reid,teamID,Free Agent,CLE,espn
Chazz Surratt,rating,69,64,
Chazz Surratt,teamID,Free Agent,SEA,espn
Garret Wallow,rating,58,63,
Garret Wallow,teamID,Free Agent,SF,espn
Jared Ivey,rating,54,59,
Jared Ivey,position,OLB,MLB,
Jared Ivey,teamID,SEA,ATL,espn
Jared Verse,rating,85,88,
Jared Verse,position,OLB,DE,
Jared Verse,teamID,LAR,CLE,espn
Dre Greenlaw,rating,79,85,
Dre Greenlaw,teamID,DEN,SF,espn
CJ Allen,rating,77,74,
CJ Allen,position,OLB,MLB,
CJ Allen,teamID,Rookie,IND,espn
Juice Scruggs,rating,64,70,
Juice Scruggs,teamID,HOU,DET,espn
Tony Fields II,rating,73,67,
Tony Fields II,position,OLB,MLB,
Tony Fields II,teamID,Free Agent,CHI,espn
Thomas Incoom,rating,72,66,
Thomas Incoom,position,OLB,MLB,
Thomas Incoom,teamID,Free Agent,CAR,espn
Zaire Barnes,rating,68,65,
Zaire Barnes,teamID,Free Agent,NYG,espn
Corey Bullock,rating,69,63,
Corey Bullock,teamID,Free Agent,CAR,espn
Tyrel Dodson,rating,70,77,
Tyrel Dodson,teamID,MIA,CAR,espn
Kage Casey,rating,75,71,
Claudin Cherelus,rating,62,69,
Claudin Cherelus,teamID,Free Agent,CAR,espn
Jonathan Garvin,rating,59,66,
Jonathan Garvin,position,OLB,DE,
Jonathan Garvin,teamID,Free Agent,CHI,espn
Nephi Sewell,rating,72,65,
Nephi Sewell,teamID,Free Agent,CHI,espn
Sonny Styles,rating,86,78,
Sonny Styles,position,OLB,MLB,
Sonny Styles,teamID,Rookie,WAS,espn
Charles Omenihu,rating,68,76,
Charles Omenihu,teamID,Free Agent,WAS,espn
K'Lavon Chaisson,rating,67,75,
K'Lavon Chaisson,position,OLB,MLB,
K'Lavon Chaisson,teamID,Free Agent,WAS,espn
Evan Brown,rating,67,72,
Evan Brown,teamID,ARI,HOU,espn
LT Overton,rating,79,71,
LT Overton,position,DE,DT,
LT Overton,teamID,Rookie,DAL,espn
Jose Ramirez,rating,59,67,
Jose Ramirez,position,OLB,MLB,
Jose Ramirez,teamID,Free Agent,NE,espn
Cooper McDonald,rating,72,64,
Cooper McDonald,position,OLB,MLB,
Cooper McDonald,teamID,Free Agent,KC,espn
Matt Gulbin,rating,69,64,
Matt Gulbin,position,OG,C,
Matt Gulbin,teamID,Rookie,WAS,espn
Jacob Bayer,rating,68,63,
Jacob Bayer,teamID,Free Agent,CIN,espn
TeRah Edwards,rating,70,62,
TeRah Edwards,position,DE,DT,
TeRah Edwards,teamID,LAC,CAR,espn
Austin Barber,rating,77,74,
Austin Barber,position,C,OT,
Austin Barber,teamID,Rookie,CLE,espn
Broderick Washington,rating,62,71,
Broderick Washington,position,DE,DT,
Broderick Washington,teamID,Free Agent,BAL,espn
Parker Brailsford,rating,73,67,
Parker Brailsford,position,OG,C,
Parker Brailsford,teamID,Rookie,CLE,espn
Walter Rouse,rating,56,65,
Walter Rouse,teamID,MIN,NE,espn
Will Sherman,rating,66,57,
Kadyn Proctor,rating,88,78,
Kadyn Proctor,teamID,Rookie,MIA,espn
Troy Reeder,rating,62,69,
Troy Reeder,teamID,Free Agent,NYJ,espn
Nick Leverett,rating,60,67,
Nick Leverett,teamID,Free Agent,DAL,espn
Willie Lampkin,rating,53,63,
Willie Lampkin,teamID,Free Agent,PHI,espn
Jordan Meredith,rating,62,73,
Jordan Meredith,teamID,Free Agent,NYJ,espn
Baron Browning,rating,62,73,
Baron Browning,position,OLB,MLB,
Baron Browning,teamID,Free Agent,ARI,espn
Kyle Louis,rating,79,71,
Kyle Louis,position,OLB,MLB,
Kyle Louis,teamID,Rookie,MIA,espn
Del'Shawn Phillips,rating,59,67,
Del'Shawn Phillips,teamID,Free Agent,LAC,espn
Bud Dupree,rating,60,72,
Bud Dupree,position,OLB,MLB,
Bud Dupree,teamID,Free Agent,LAC,espn
Patrick Johnson,rating,54,66,
Patrick Johnson,position,OLB,DE,
Patrick Johnson,teamID,Free Agent,LV,espn
Easton Mascarenas-Arnold,rating,73,64,
Easton Mascarenas-Arnold,teamID,Free Agent,CLE,espn
Logan Jones,rating,76,72,
Logan Jones,position,OG,C,
Logan Jones,teamID,Rookie,CHI,espn
Kendrick Green,rating,56,69,
Kendrick Green,position,C,OG,
Kendrick Green,teamID,Free Agent,CLE,espn
Sebastian Joseph-Day,rating,64,78,
Sebastian Joseph-Day,position,DE,DT,
Sebastian Joseph-Day,teamID,Free Agent,PIT,espn
Brady Christensen,rating,65,76,
Brady Christensen,position,OT,OG,
Brady Christensen,teamID,Free Agent,CAR,espn
Christian Harris,rating,57,71,
Christian Harris,position,OLB,MLB,
Christian Harris,teamID,Free Agent,ATL,espn
Jordon Riley,rating,54,68,
Jordon Riley,position,DE,DT,
Jordon Riley,teamID,Free Agent,GB,espn
Patrick Jones II,rating,60,72,
Patrick Jones II,position,OLB,MLB,
Patrick Jones II,teamID,Free Agent,CAR,espn
Gennings Dunker,rating,81,72,
Gennings Dunker,position,OT,OG,
Gennings Dunker,teamID,Rookie,PIT,espn
Francis Mauigoa,rating,89,79,
Francis Mauigoa,teamID,Rookie,NYG,espn
Treydan Stukes,rating,81,76,
Treydan Stukes,position,CB,S,
Treydan Stukes,teamID,Rookie,LV,espn
Jonathan Allen,rating,70,88,
Jonathan Allen,position,DE,DT,
Jonathan Allen,teamID,Free Agent,CIN,espn
Connor Lew,rating,89,69,
Connor Lew,position,OG,C,
Connor Lew,teamID,Rookie,CIN,espn
Sam Hecht,rating,86,68,
Sam Hecht,position,OG,C,
Sam Hecht,teamID,Rookie,CAR,espn
Nick Saldiveri,position,OG,OT,
Mohamoud Diabate,position,OLB,MLB,
Jalen McLeod,position,OLB,MLB,
Bralen Trice,position,OLB,MLB,
DeAngelo Malone,position,OLB,MLB,
Connor Heyward,position,TE,RB,
Ruben Hyppolite II,position,OLB,MLB,
Julian Good-Jones,position,C,OG,
Joe Giles-Harris,position,OLB,MLB,
Jason Sanders,teamID,NYG,NYJ,espn
Ifeatu Melifonwu,teamID,Free Agent,TB,espn
Kingsley Jonathan,teamID,Free Agent,NYJ,espn
Tariq Castro-Fields,teamID,Free Agent,PHI,espn
Will Levis,teamID,TEN,NYJ,espn
Daequan Hardy,teamID,Free Agent,PIT,espn
Gerad Lichtenhan,teamID,Free Agent,BAL,espn
Michael Danna,teamID,KC,BUF,espn
Matt Waletzko,teamID,Free Agent,KC,espn
Michael Reid,teamID,Free Agent,NO,espn
Travis Homer,teamID,Free Agent,PIT,espn
Jared Bartlett,teamID,Free Agent,JAX,espn
Zech McPhearson,teamID,Free Agent,LAR,espn
Malik Harrison,teamID,PIT,NYG,espn
DJ James,teamID,Free Agent,NYG,espn
Adam Prentice,teamID,Free Agent,DEN,espn
Solomon Byrd,teamID,Free Agent,HOU,espn
Devon Marshall,teamID,Rookie,JAX,espn
Isas Waxter,teamID,Free Agent,LAC,espn
Jeremiah Webb,teamID,Free Agent,NE,espn
Ricky Barber,teamID,Free Agent,WAS,espn
Levelle Bailey,teamID,Free Agent,DEN,espn
Cole Turner,teamID,Free Agent,MIA,espn
Cole Burgess,teamID,Free Agent,PIT,espn
Andre James,teamID,Free Agent,TEN,espn
Rico Payton,teamID,Free Agent,NYG,espn
Chris Collier,teamID,Free Agent,LV,espn
Jarrick Bernard-Converse,teamID,Free Agent,NYG,espn
Sean McKeon,teamID,Free Agent,IND,espn
Cole Christiansen,teamID,Free Agent,KC,espn
Josh Johnson,teamID,Free Agent,CIN,espn
Kristian Welch,teamID,Free Agent,GB,espn
Clelin Ferrell,teamID,Free Agent,MIA,espn
Jimmy Holiday,teamID,Free Agent,KC,espn
Foley Fatukasi,teamID,Free Agent,LV,espn
Jeshaun Jones,teamID,Free Agent,MIN,espn
Curtis Robinson,teamID,Free Agent,DAL,espn
Cody White,teamID,Free Agent,LV,espn
Andre' Sam,teamID,Free Agent,PHI,espn
Zachary Carter,teamID,Free Agent,ARI,espn
Nikola Kalinic,teamID,Free Agent,CHI,espn
Ben Stille,teamID,Free Agent,DET,espn
Keshawn Banks,teamID,Free Agent,ATL,espn
Nicholas Singleton,teamID,Rookie,TEN,espn
Marcus Harris,teamID,Free Agent,KC,espn
Xavier Weaver,teamID,Free Agent,ARI,espn
K.C. Ossai,teamID,Free Agent,HOU,espn
Jaylon Jones,teamID,Free Agent,TEN,espn
Tedarrell Slaton,teamID,Free Agent,CIN,espn
Lan Larison,teamID,Free Agent,NE,espn
Josh Williams,teamID,Free Agent,TB,espn
Braxton Berrios,teamID,Free Agent,NYG,espn
Thomas Yassmin,teamID,Free Agent,GB,espn
George Odum,teamID,Free Agent,HOU,espn
Chris Myarick,teamID,Free Agent,LV,espn
Kaden Davis,teamID,Free Agent,CHI,espn
Max Hurleman,teamID,Free Agent,PIT,espn
Connor McGovern,teamID,Free Agent,BUF,espn
Max Llewellyn,teamID,Rookie,MIA,espn
Kyle Van Noy,position,OLB,MLB,
Kyle Van Noy,teamID,Free Agent,MIN,espn
Aaron Hall,position,CB,DT,
Aaron Hall,teamID,Rookie,CAR,espn
Elijah Chatman,position,DE,DT,
Elijah Chatman,teamID,NYG,CLE,espn
Jeremiah Moon,position,OLB,MLB,
Jeremiah Moon,teamID,Free Agent,CAR,espn
Bo Melton,position,CB,WR,
Bo Melton,teamID,Free Agent,GB,espn
Velus Jones Jr.,position,RB,WR,
Velus Jones Jr.,teamID,Free Agent,SEA,espn
James Ester,position,DT,OG,
James Ester,teamID,Free Agent,MIA,espn
Johnathan Baldwin,position,CB,S,
Johnathan Baldwin,teamID,Free Agent,GB,espn
Andrew Farmer,position,OLB,DE,
Andrew Farmer,teamID,Free Agent,SF,espn
Nick Zakelj,position,OG,OT,
Nick Zakelj,teamID,Free Agent,SF,espn
Mohamed Kamara,position,OLB,MLB,
Mohamed Kamara,teamID,Free Agent,TB,espn
Tejhaun Palmer,teamID,ARI,Free Agent,espn-demote
Rivaldo Fairweather,teamID,ARI,Free Agent,espn-demote
Teagan Quitoriano,teamID,ARI,Free Agent,espn-demote
Matt Pryor,teamID,ARI,Free Agent,espn-demote
Christian Jones,teamID,ARI,Free Agent,espn-demote
Jonah Williams,teamID,ARI,Free Agent,espn-demote
BJ Ojulari,teamID,ARI,Free Agent,espn-demote
Elijah Jones,teamID,ARI,Free Agent,espn-demote
Will Hernandez,teamID,ARI,Free Agent,espn-demote
Austin Keys,teamID,ARI,Free Agent,espn-demote
Bilal Nichols,teamID,ARI,Free Agent,espn-demote
PJ Mustipher,teamID,ARI,Free Agent,espn-demote
Kaleb McGary,teamID,ATL,Free Agent,espn-demote
Channing Tindall,teamID,ATL,Free Agent,espn-demote
Casey Washington,teamID,ATL,Free Agent,espn-demote
Nate Carter,teamID,ATL,Free Agent,espn-demote
Azeez Ojulari,teamID,ATL,Free Agent,espn-demote
Jack Nelson,teamID,ATL,Free Agent,espn-demote
Malik Verdon,teamID,ATL,Free Agent,espn-demote
Cobee Bryant,teamID,ATL,Free Agent,espn-demote
Jammie Robinson,teamID,ATL,Free Agent,espn-demote
Adisa Isaac,teamID,BAL,Free Agent,espn-demote
Luke Elzinga,teamID,BAL,Free Agent,espn-demote
Kaimon Rucker,teamID,BAL,Free Agent,espn-demote
Matt Milano,teamID,BUF,Free Agent,espn-demote
Jerry Hughes,teamID,BUF,Free Agent,espn-demote
Curtis Samuel,teamID,BUF,Free Agent,espn-demote
Taylor Rapp,teamID,BUF,Free Agent,espn-demote
Geno Stone,teamID,BUF,Free Agent,espn-demote
Zion Logue,teamID,BUF,Free Agent,espn-demote
Wande Owens,teamID,BUF,Free Agent,espn-demote
Jordan Poyer,teamID,BUF,Free Agent,espn-demote
Chase Lundt,teamID,BUF,Free Agent,espn-demote
Jamil Muhammad,teamID,CAR,Free Agent,espn-demote
Jared Harrison-Hunte,teamID,CAR,Free Agent,espn-demote
Jimmy Horn Jr.,teamID,CAR,Free Agent,espn-demote
Nick Hampton,teamID,CAR,Free Agent,espn-demote
Joshua Gray,teamID,CAR,Free Agent,espn-demote
Chandler Zavala,teamID,CAR,Free Agent,espn-demote
Corey Thornton,teamID,CAR,Free Agent,espn-demote
Popo Aumavae,teamID,CAR,Free Agent,espn-demote
LaBryan Ray,teamID,CAR,Free Agent,espn-demote
Luke Elkin,teamID,CHI,Free Agent,espn-demote
Zah Frazier,teamID,CHI,Free Agent,espn-demote
Terell Smith,teamID,CHI,Free Agent,espn-demote
Jedrick Wills,teamID,CHI,Free Agent,espn-demote
Kiran Amegadjie,teamID,CHI,Free Agent,espn-demote
Ricky Stromberg,teamID,CHI,Free Agent,espn-demote
Gervarrius Owens,teamID,CHI,Free Agent,espn-demote
Deion Hankins,teamID,CHI,Free Agent,espn-demote
Amen Ogbongbemiga,teamID,CHI,Free Agent,espn-demote
Charlie Jones,teamID,CIN,Free Agent,espn-demote
Mitchell Tinsley,teamID,CIN,Free Agent,espn-demote
Daijahn Anthony,teamID,CIN,Free Agent,espn-demote
Andrew Coker,teamID,CIN,Free Agent,espn-demote
Cody Ford,teamID,CIN,Free Agent,espn-demote
Antwaun Powell-Ryland,teamID,CIN,Free Agent,espn-demote
Shaka Heyward,teamID,CIN,Free Agent,espn-demote
Jordan Jefferson,teamID,CIN,Free Agent,espn-demote
McKinnley Jackson,teamID,CIN,Free Agent,espn-demote
Isaiah Foskey,teamID,CIN,Free Agent,espn-demote
Matt Lee,teamID,CIN,Free Agent,espn-demote
Gage Larvadain,teamID,CLE,Free Agent,espn-demote
Cedric Tillman,teamID,CLE,Free Agent,espn-demote
Chris Edmonds,teamID,CLE,Free Agent,espn-demote
KT Leveston,teamID,CLE,Free Agent,espn-demote
Jeremiah Byers,teamID,CLE,Free Agent,espn-demote
Nathaniel Watson,teamID,CLE,Free Agent,espn-demote
Maurice Hurst,teamID,CLE,Free Agent,espn-demote
Myles Bryant,teamID,CLE,Free Agent,espn-demote
Dom Jones,teamID,CLE,Free Agent,espn-demote
Jack Stoll,teamID,CLE,Free Agent,espn-demote
Justin Osborne,teamID,CLE,Free Agent,espn-demote
Logan Wilson,teamID,DAL,Free Agent,espn-demote
Phil Mafah,teamID,DAL,Free Agent,espn-demote
Miles Sanders,teamID,DAL,Free Agent,espn-demote
Jay Toia,teamID,DAL,Free Agent,espn-demote
Jaydon Blue,teamID,DAL,Free Agent,espn-demote
Derion Kendrick,teamID,DAL,Free Agent,espn-demote
Joe Milton III,teamID,DAL,Free Agent,espn-demote
Trikweze Bridges,teamID,DAL,Free Agent,espn-demote
Johnny Walker Jr.,teamID,DEN,Free Agent,espn-demote
Drew Sanders,teamID,DEN,Free Agent,espn-demote
Nash Jones,teamID,DEN,Free Agent,espn-demote
Taylor Decker,teamID,DET,Free Agent,espn-demote
Kye Robichaux,teamID,DET,Free Agent,espn-demote
Greg Dortch,teamID,DET,Free Agent,espn-demote
Dominic Lovett,teamID,DET,Free Agent,espn-demote
Dan Jackson,teamID,DET,Free Agent,espn-demote
Nick Whiteside,teamID,DET,Free Agent,espn-demote
Teddy Bridgewater,teamID,DET,Free Agent,espn-demote
Michael Niese,teamID,DET,Free Agent,espn-demote
Colby Sorsdal,teamID,DET,Free Agent,espn-demote
Jakobie Keeney-James,teamID,GB,Free Agent,espn-demote
Darian Kinnard,teamID,GB,Free Agent,espn-demote
Brandon McManus,teamID,GB,Free Agent,espn-demote
Joe Mixon,teamID,HOU,Free Agent,espn-demote
Jawhar Jordan,teamID,HOU,Free Agent,espn-demote
Junior Tafuna,teamID,HOU,Free Agent,espn-demote
Sidy Sow,teamID,HOU,Free Agent,espn-demote
Kyonte Hamilton,teamID,HOU,Free Agent,espn-demote
Denico Autry,teamID,HOU,Free Agent,espn-demote
Alijah Huzzie,teamID,HOU,Free Agent,espn-demote
Daniel Scott,teamID,IND,Free Agent,espn-demote
Juanyeh Thomas,teamID,IND,Free Agent,espn-demote
Jack Wilson,teamID,IND,Free Agent,espn-demote
LaDarius Henderson,teamID,IND,Free Agent,espn-demote
Derrick Nnadi,teamID,IND,Free Agent,espn-demote
Tyquan Lewis,teamID,IND,Free Agent,espn-demote
Ulysses Bentley,teamID,IND,Free Agent,espn-demote
Kenny Moore II,teamID,IND,Free Agent,espn-demote
Nick Westbrook-Ikhine,teamID,IND,Free Agent,espn-demote
Johnathan Edwards,teamID,IND,Free Agent,espn-demote
Josh Sills,teamID,IND,Free Agent,espn-demote
Josh Reynolds,teamID,JAX,Free Agent,espn-demote
Sal Wormley,teamID,JAX,Free Agent,espn-demote
Jerome Carvin,teamID,JAX,Free Agent,espn-demote
Cooper Hodges,teamID,JAX,Free Agent,espn-demote
Keith Taylor,teamID,JAX,Free Agent,espn-demote
Kader Kohou,teamID,KC,Free Agent,espn-demote
Mike Edwards,teamID,KC,Free Agent,espn-demote
Kaiir Elam,teamID,KC,Free Agent,espn-demote
Wanya Morris,teamID,KC,Free Agent,espn-demote
Brandon George,teamID,KC,Free Agent,espn-demote
Christian Roland-Wallace,teamID,KC,Free Agent,espn-demote
Melvin Smith Jr.,teamID,KC,Free Agent,espn-demote
C.J. Hanson,teamID,KC,Free Agent,espn-demote
Isaiah Spiller,teamID,LAC,Free Agent,espn-demote
Savion Washington,teamID,LAC,Free Agent,espn-demote
Junior Colson,teamID,LAC,Free Agent,espn-demote
Kyle Kennard,teamID,LAC,Free Agent,espn-demote
Garmon Randolph,teamID,LAC,Free Agent,espn-demote
Josh Fuga,teamID,LAC,Free Agent,espn-demote
Jordan Oladokun,teamID,LAC,Free Agent,espn-demote
Eric Rogers,teamID,LAC,Free Agent,espn-demote
Josh Kaltenberger,teamID,LAC,Free Agent,espn-demote
Jarquez Hunter,teamID,LAR,Free Agent,espn-demote
Raheem Mostert,teamID,LV,Free Agent,espn-demote
Jamin Davis,teamID,LV,Free Agent,espn-demote
Brodric Martin,teamID,LV,Free Agent,espn-demote
Laki Tasi,teamID,LV,Free Agent,espn-demote
Jahfari Harvey,teamID,LV,Free Agent,espn-demote
Greedy Vance,teamID,LV,Free Agent,espn-demote
Shedrick Jackson,teamID,LV,Free Agent,espn-demote
Ethan Robinson,teamID,MIA,Free Agent,espn-demote
Alex Austin,teamID,MIA,Free Agent,espn-demote
Zane Gonzalez,teamID,MIA,Free Agent,espn-demote
James Daniels,teamID,MIA,Free Agent,espn-demote
Jamaree Salyer,teamID,MIA,Free Agent,espn-demote
David Ojabo,teamID,MIA,Free Agent,espn-demote
Cameron Goode,teamID,MIA,Free Agent,espn-demote
Cam Miller,teamID,MIA,Free Agent,espn-demote
Donovan Edwards,teamID,MIA,Free Agent,espn-demote
Jordan Colbert,teamID,MIA,Free Agent,espn-demote
Jalin Conyers,teamID,MIA,Free Agent,espn-demote
Ben Sims,teamID,MIA,Free Agent,espn-demote
Cedrick Wilson Jr.,teamID,MIA,Free Agent,espn-demote
Theo Wease Jr.,teamID,MIA,Free Agent,espn-demote
Tahj Washington,teamID,MIA,Free Agent,espn-demote
Johnny Hekker,teamID,MIN,Free Agent,espn-demote
Zeke Correll,teamID,MIN,Free Agent,espn-demote
Tavierre Thomas,teamID,MIN,Free Agent,espn-demote
Zavier Scott,teamID,MIN,Free Agent,espn-demote
Max Brosmer,teamID,MIN,Free Agent,espn-demote
CJ Dippre,teamID,NE,Free Agent,espn-demote
Mike Brown,teamID,NE,Free Agent,espn-demote
Brock Lampe,teamID,NE,Free Agent,espn-demote
Antonio Gibson,teamID,NE,Free Agent,espn-demote
Terrell Jennings,teamID,NE,Free Agent,espn-demote
Jesse Luketa,teamID,NE,Free Agent,espn-demote
Bradyn Swinson,teamID,NE,Free Agent,espn-demote
Marte Mapu,teamID,NE,Free Agent,espn-demote
Chad Muma,teamID,NE,Free Agent,espn-demote
Kobee Minor,teamID,NE,Free Agent,espn-demote
Charlie Smyth,teamID,NO,Free Agent,espn-demote
Audric Estime,teamID,NO,Free Agent,espn-demote
Fadil Diggs,teamID,NO,Free Agent,espn-demote
Ja'Lynn Polk,teamID,NO,Free Agent,espn-demote
Evan Hull,teamID,NO,Free Agent,espn-demote
Trey Palmer,teamID,NO,Free Agent,espn-demote
Ronnie Bell,teamID,NO,Free Agent,espn-demote
Xavier Truss,teamID,NO,Free Agent,espn-demote
Eric Kendricks,teamID,NYG,Free Agent,espn-demote
Isaiah Hodgins,teamID,NYG,Free Agent,espn-demote
Xavier Gipson,teamID,NYG,Free Agent,espn-demote
Beau Brade,teamID,NYG,Free Agent,espn-demote
Evan Neal,teamID,NYG,Free Agent,espn-demote
Dalen Cambre,teamID,NYG,Free Agent,espn-demote
Da'Quan Felton,teamID,NYG,Free Agent,espn-demote
Sam Roberts,teamID,NYG,Free Agent,espn-demote
Caleb Murphy,teamID,NYG,Free Agent,espn-demote
Quentin Skinner,teamID,NYJ,Free Agent,espn-demote
Chris Smith II,teamID,NYJ,Free Agent,espn-demote
Dean Clark,teamID,NYJ,Free Agent,espn-demote
Khalil Herbert,teamID,NYJ,Free Agent,espn-demote
Mykal Walker,teamID,NYJ,Free Agent,espn-demote
Kobe King,teamID,NYJ,Free Agent,espn-demote
Cade York,teamID,NYJ,Free Agent,espn-demote
Eric Watts,teamID,NYJ,Free Agent,espn-demote
Gus Hartwig,teamID,NYJ,Free Agent,espn-demote
Brandon Graham,teamID,PHI,Free Agent,espn-demote
Chandler Martin,teamID,PHI,Free Agent,espn-demote
Dameon Pierce,teamID,PHI,Free Agent,espn-demote
Jabrill Peppers,teamID,PIT,Free Agent,espn-demote
Sebastian Castro,teamID,PIT,Free Agent,espn-demote
A.T. Perry,teamID,PIT,Free Agent,espn-demote
Esezi Otomewo,teamID,PIT,Free Agent,espn-demote
Cory Trice Jr.,teamID,PIT,Free Agent,espn-demote
Will Dissly,teamID,SEA,Free Agent,espn-demote
Pooh Paul Jr.,teamID,SEA,Free Agent,espn-demote
Kenny McIntosh,teamID,SEA,Free Agent,espn-demote
Federico Maranges,teamID,SEA,Free Agent,espn-demote
Amari Kight,teamID,SEA,Free Agent,espn-demote
Tre Tomlinson,teamID,SF,Free Agent,espn-demote
Jakob Robinson,teamID,SF,Free Agent,espn-demote
Robert Jones,teamID,SF,Free Agent,espn-demote
Devin Culp,teamID,TB,Free Agent,espn-demote
John Bullock,teamID,TB,Free Agent,espn-demote
John Molchon,teamID,TB,Free Agent,espn-demote
Rashad Wisdom,teamID,TB,Free Agent,espn-demote
Chris Braswell,teamID,TB,Free Agent,espn-demote
Jake Browning,teamID,TB,Free Agent,espn-demote
JJ Roberts,teamID,TB,Free Agent,espn-demote
Elijah Klein,teamID,TB,Free Agent,espn-demote
K.J. Osborn,teamID,TEN,Free Agent,espn-demote
Jerrick Reed II,teamID,TEN,Free Agent,espn-demote
Michael Carter,teamID,TEN,Free Agent,espn-demote
Kalel Mullings,teamID,TEN,Free Agent,espn-demote
Hendon Hooker,teamID,TEN,Free Agent,espn-demote
Drew Moss,teamID,TEN,Free Agent,espn-demote
Cordell Volson,teamID,TEN,Free Agent,espn-demote
Cam Horsley,teamID,TEN,Free Agent,espn-demote
Bobby Wagner,teamID,WAS,Free Agent,espn-demote
Jerome Ford,teamID,WAS,Free Agent,espn-demote
Malaesala Aumavae-Laulu,teamID,WAS,Free Agent,espn-demote
Drake Jackson,teamID,WAS,Free Agent,espn-demote
Will Harris,teamID,WAS,Free Agent,espn-demote
Ahkello Witherspoon,teamID,WAS,Free Agent,espn-demote
Sam Hartman,teamID,WAS,Free Agent,espn-demote
Van Jefferson,teamID,WAS,Free Agent,espn-demote
Jake Moody,teamID,WAS,Free Agent,espn-demote
